Entity;Resolved_by_rule;Resolved_by_fuzzy;Resolved_by_semantic;Manual_P;Manual_R;Manual_F1;Auto_P;Auto_R;Auto_F1;Tuned_Fuzzy_Threshold;Rec_Fuzzy_Lower;Final_Fuzzy_Threshold;Tuned_Semantic_Threshold;Rec_Sem_Lower;Final_Semantic_Threshold;Delta_P;Delta_R;Delta_F1
Victim;268;8;1;0;0;0;0.7181818181818181;0.3495575221238938;0.4702380952380952;;0.20334620334620335;0.6;;0.21524488180875778;0.25;0.7181818181818181;0.3495575221238938;0.4702380952380952
Perpetrator;270;2;5;0;0;0;0.4444444444444444;0.2155688622754491;0.29032258064516125;;0.20334620334620335;0.6;;0.21524488180875778;0.25;0.4444444444444444;0.2155688622754491;0.29032258064516125
Mode of Demise;234;4;39;0;0;0;0.37623762376237624;0.2222222222222222;0.2794117647058823;;0.20334620334620335;0.6;;0.21524488180875778;0.25;0.37623762376237624;0.2222222222222222;0.2794117647058823
Overall;772;14;45;0;0;0;0.523972602739726;0.2712765957446808;0.3574766355140187;;0.20334620334620335;0.6;;0.21524488180875778;0.25;0.523972602739726;0.2712765957446808;0.3574766355140187
