Entity;Resolved_by_rule;Resolved_by_fuzzy;Resolved_by_semantic;Manual_P;Manual_R;Manual_F1;Auto_P;Auto_R;Auto_F1;Tuned_Fuzzy_Threshold;Rec_Fuzzy_Lower;Final_Fuzzy_Threshold;Tuned_Semantic_Threshold;Rec_Sem_Lower;Final_Semantic_Threshold;Delta_P;Delta_R;Delta_F1
Victim;267;6;2;0;0;0;0.6617647058823529;0.19911504424778761;0.30612244897959184;;0.20334620334620335;0.6;;0.21524488180875778;0.25;0.6617647058823529;0.19911504424778761;0.30612244897959184
Perpetrator;264;2;9;0;0;0;0.4;0.11976047904191617;0.18433179723502308;;0.20334620334620335;0.6;;0.21524488180875778;0.25;0.4;0.11976047904191617;0.18433179723502308
Mode of Demise;245;4;26;0;0;0;0.4666666666666667;0.16374269005847952;0.24242424242424243;;0.20334620334620335;0.6;;0.21524488180875778;0.25;0.4666666666666667;0.16374269005847952;0.24242424242424243
Overall;776;12;37;0;0;0;0.5224719101123596;0.16489361702127658;0.25067385444743934;;0.20334620334620335;0.6;;0.21524488180875778;0.25;0.5224719101123596;0.16489361702127658;0.25067385444743934
