Entity;Resolved_by_rule;Resolved_by_fuzzy;Resolved_by_semantic;Manual_P;Manual_R;Manual_F1;Auto_P;Auto_R;Auto_F1;Tuned_Fuzzy_Threshold;Rec_Fuzzy_Lower;Final_Fuzzy_Threshold;Tuned_Semantic_Threshold;Rec_Sem_Lower;Final_Semantic_Threshold;Delta_P;Delta_R;Delta_F1
Victim;265;7;4;0;0;0;0.7311827956989247;0.3008849557522124;0.4263322884012539;;0.20334620334620335;0.6;;0.21524488180875778;0.25;0.7311827956989247;0.3008849557522124;0.4263322884012539
Perpetrator;263;3;10;0;0;0;0.47692307692307695;0.18562874251497005;0.2672413793103448;;0.20334620334620335;0.6;;0.21524488180875778;0.25;0.47692307692307695;0.18562874251497005;0.2672413793103448
Mode of Demise;242;2;32;0;0;0;0.4189189189189189;0.18128654970760233;0.2530612244897959;;0.20334620334620335;0.6;;0.21524488180875778;0.25;0.4189189189189189;0.18128654970760233;0.2530612244897959
Overall;770;12;46;0;0;0;0.5603448275862069;0.23049645390070922;0.3266331658291457;;0.20334620334620335;0.6;;0.21524488180875778;0.25;0.5603448275862069;0.23049645390070922;0.3266331658291457
