Entity;Cosine;Fuzzy;Human_TP
Victim;1.0;1.0;0
Victim;1.0;1.0;0
Victim;1.0;1.0;0
Victim;1.0;1.0;0
Victim;1.0;1.0;0
Victim;1.0;1.0;0
Victim;1.0;1.0;0
Victim;1.0000001192092896;1.0;0
Victim;0.9999999403953552;1.0;0
Victim;1.0000001192092896;1.0;0
Victim;0.7964412569999695;0.625;0
Victim;1.0000001192092896;1.0;0
Victim;0.9999999403953552;1.0;0
Victim;0.9999999403953552;1.0;0
Victim;1.0;1.0;0
Victim;0.9999999403953552;1.0;0
Victim;0.2915714979171753;0.2142857142857143;0
Victim;1.0;1.0;0
Victim;0.9999999403953552;1.0;0
Victim;0.7962822914123535;0.6363636363636364;0
Victim;0.5645964741706848;0.5;0
Victim;1.0000001192092896;1.0;0
Victim;1.0000001192092896;1.0;0
Victim;1.0;1.0;0
Victim;1.0000001192092896;1.0;0
Victim;1.0;1.0;0
Victim;1.0000001192092896;1.0;0
Victim;1.0000001192092896;1.0;0
Victim;0.7653629779815674;0.8888888888888888;0
Perpetrator;1.0;1.0;0
Perpetrator;1.0;1.0;0
Perpetrator;1.0;1.0;0
Perpetrator;1.0000001192092896;1.0;0
Perpetrator;0.15087924897670746;0.32558139534883723;0
Perpetrator;1.0000001192092896;1.0;0
Perpetrator;1.0;1.0;0
Perpetrator;1.000000238418579;1.0;0
Perpetrator;0.7970036268234253;0.6666666666666667;0
Perpetrator;0.9300441145896912;0.923076923076923;0
Perpetrator;0.8064574003219604;0.875;0
Perpetrator;0.9999998807907104;1.0;0
Perpetrator;1.0;1.0;0
Perpetrator;0.47195395827293396;0.33333333333333337;0
Perpetrator;1.0000001192092896;1.0;0
Perpetrator;1.0000001192092896;1.0;0
Perpetrator;1.0000001192092896;1.0;0
Perpetrator;0.20880286395549774;0.3157894736842105;0
Perpetrator;1.0000001192092896;1.0;0
Perpetrator;1.0000001192092896;1.0;0
Perpetrator;0.2391728013753891;0.2857142857142857;0
Mode of Demise;0.44279807806015015;0.15384615384615385;0
Mode of Demise;0.4646950960159302;0.2142857142857143;0
Mode of Demise;0.1663123369216919;0.34782608695652173;0
Mode of Demise;0.784954309463501;0.4444444444444444;0
Mode of Demise;0.7110658884048462;0.4;0
Mode of Demise;0.2378077656030655;0.30000000000000004;0
Mode of Demise;0.2349308729171753;0.1428571428571429;0
Mode of Demise;0.4403921663761139;0.32432432432432434;0
Mode of Demise;0.19012698531150818;0.18181818181818177;0
Mode of Demise;0.38521647453308105;0.38888888888888884;0
Mode of Demise;0.2820569574832916;0.30000000000000004;0
Mode of Demise;0.5475800633430481;0.7;0
Mode of Demise;1.0000001192092896;1.0;0
Mode of Demise;0.7842011451721191;0.4615384615384615;0
Mode of Demise;1.0000001192092896;1.0;0
Mode of Demise;0.2700784504413605;0.09999999999999998;0
Mode of Demise;0.2732921242713928;0.42105263157894735;0
Mode of Demise;0.39504244923591614;0.26086956521739135;0
Mode of Demise;1.0000001192092896;1.0;0
Mode of Demise;0.8069987893104553;0.8387096774193549;0
Mode of Demise;0.3205001652240753;0.2222222222222222;0
Mode of Demise;0.5505251884460449;0.4666666666666666;0
Mode of Demise;0.3998260796070099;0.2962962962962963;0
Mode of Demise;0.7722687125205994;0.5454545454545454;0
