Entity;Resolved_by_rule;Resolved_by_fuzzy;Resolved_by_semantic;Manual_P;Manual_R;Manual_F1;Auto_P;Auto_R;Auto_F1;Tuned_Fuzzy_Threshold;Rec_Fuzzy_Lower;Final_Fuzzy_Threshold;Tuned_Semantic_Threshold;Rec_Sem_Lower;Final_Semantic_Threshold;Delta_P;Delta_R;Delta_F1
Victim;250;3;2;0;0;0;0.7837837837837838;0.12831858407079647;0.220532319391635;;0.20334620334620335;0.6;;0.21524488180875778;0.25;0.7837837837837838;0.12831858407079647;0.220532319391635
Perpetrator;248;3;4;0;0;0;0.5142857142857142;0.10778443113772455;0.1782178217821782;;0.20334620334620335;0.6;;0.21524488180875778;0.25;0.5142857142857142;0.10778443113772455;0.1782178217821782
Mode of Demise;234;2;19;0;0;0;0.5555555555555556;0.11695906432748537;0.1932367149758454;;0.20334620334620335;0.6;;0.21524488180875778;0.25;0.5555555555555556;0.11695906432748537;0.1932367149758454
Overall;732;8;25;0;0;0;0.6203703703703703;0.11879432624113476;0.19940476190476195;;0.20334620334620335;0.6;;0.21524488180875778;0.25;0.6203703703703703;0.11879432624113476;0.19940476190476195
