Entity;Resolved_by_rule;Resolved_by_fuzzy;Resolved_by_semantic;Manual_P;Manual_R;Manual_F1;Auto_P;Auto_R;Auto_F1;Tuned_Fuzzy_Threshold;Rec_Fuzzy_Lower;Final_Fuzzy_Threshold;Tuned_Semantic_Threshold;Rec_Sem_Lower;Final_Semantic_Threshold;Delta_P;Delta_R;Delta_F1
Victim;229;25;0;0.8608695652173913;0.43805309734513276;0.5806451612903225;0.8584070796460177;0.42920353982300885;0.5722713864306784;0.0;0.5974999999999999;0.0;0.2;0.5817356258630753;0.2;-0.0024624855713736293;-0.008849557522123908;-0.008373774859644079
Perpetrator;242;6;6;0.7638888888888888;0.32934131736526945;0.4602510460251045;0.7083333333333334;0.30538922155688625;0.4267782426778243;0.35;0.2962962962962963;0.35;0.5;0.272733211517334;0.5;-0.05555555555555547;-0.0239520958083832;-0.0334728033472802
Mode of Demise;217;0;37;0.6666666666666666;0.2235294117647059;0.33480176211453744;0.6153846153846154;0.23391812865497075;0.3389830508474576;0.6;0.12916666666666668;0.6;0.2;0.169924396276474;0.2;-0.05128205128205121;0.010388716890264854;0.004181288732920174
Overall;688;31;43;0.7868852459016393;0.3410301953818828;0.47583643122676583;0.752;0.3333333333333333;0.4619164619164619;;0.20334620334620335;0.6;;0.21524488180875778;0.25;-0.03488524590163933;-0.007696862048549469;-0.013919969310303926
