Entity;Resolved_by_rule;Resolved_by_fuzzy;Resolved_by_semantic;Manual_P;Manual_R;Manual_F1;Auto_P;Auto_R;Auto_F1;Tuned_Fuzzy_Threshold;Rec_Fuzzy_Lower;Final_Fuzzy_Threshold;Tuned_Semantic_Threshold;Rec_Sem_Lower;Final_Semantic_Threshold;Delta_P;Delta_R;Delta_F1
Victim;237;18;0;0.835820895522388;0.23829787234042554;0.37086092715231783;0.8382352941176471;0.24782608695652175;0.3825503355704698;0.0;0.5974999999999999;0.0;0.2;0.5817356258630753;0.2;0.0024143985952590485;0.009528214616096209;0.01168940841815197
Perpetrator;242;4;9;0.5918367346938775;0.1676300578034682;0.26126126126126126;0.48;0.14285714285714285;0.2201834862385321;0.35;0.2962962962962963;0.35;0.5;0.272733211517334;0.5;-0.11183673469387756;-0.02477291494632536;-0.04107777502272916
Mode of Demise;220;5;30;0.543859649122807;0.17222222222222222;0.2616033755274262;0.6333333333333333;0.2159090909090909;0.3220338983050848;0.6;0.12916666666666668;0.6;0.2;0.169924396276474;0.2;0.08947368421052626;0.04368686868686869;0.06043052277765859
Overall;699;27;39;0.6705202312138728;0.19727891156462585;0.304862023653088;0.6685393258426966;0.2073170731707317;0.31648936170212766;;0.20334620334620335;0.6;;0.21524488180875778;0.25;-0.0019809053711762337;0.01003816160610585;0.011627338049039648
