Entity;Cosine;Fuzzy;Human_TP
Victim;1.0;1.0;0
Victim;0.9486454725265503;0.8571428571428572;0
Victim;1.0;1.0;0
Victim;0.6798175573348999;0.4615384615384615;0
Victim;0.6819770336151123;0.6153846153846154;0
Victim;1.0;1.0;0
Victim;1.0;1.0;0
Victim;0.8117953538894653;0.782608695652174;0
Victim;1.0000001192092896;1.0;0
Victim;0.9999999403953552;1.0;0
Victim;1.0;1.0;0
Victim;1.0000001192092896;1.0;0
Victim;1.0000001192092896;1.0;0
Victim;0.9999999403953552;1.0;0
Victim;0.8403400182723999;0.8333333333333335;0
Victim;0.9999999403953552;1.0;0
Victim;0.8305420875549316;0.5263157894736843;0
Victim;0.9073321223258972;0.9166666666666665;0
Victim;0.8397646546363831;0.875;0
Victim;1.0;1.0;0
Victim;1.0;1.0;0
Victim;0.4868844747543335;0.6;0
Victim;1.0;1.0;0
Victim;1.0;1.0;0
Victim;1.0;1.0;0
Victim;1.0;1.0;0
Victim;1.0;1.0;0
Victim;1.0;1.0;0
Victim;1.0;1.0;0
Victim;0.7863044142723083;0.6923076923076923;0
Victim;1.0;1.0;0
Victim;1.0;1.0;0
Victim;1.0;1.0;0
Victim;1.0000001192092896;1.0;0
Victim;0.7962822914123535;0.6363636363636364;0
Victim;1.0;1.0;0
Victim;1.0;1.0;0
Victim;1.0000001192092896;1.0;0
Victim;0.9999998807907104;1.0;0
Victim;1.0;1.0;0
Victim;1.0000001192092896;1.0;0
Victim;1.000000238418579;1.0;0
Victim;1.0;1.0;0
Victim;1.0000001192092896;1.0;0
Victim;1.0000001192092896;1.0;0
Victim;1.0;1.0;0
Victim;1.0;1.0;0
Victim;0.9999999403953552;1.0;0
Victim;1.0000001192092896;1.0;0
Victim;1.0000001192092896;1.0;0
Victim;1.0;1.0;0
Victim;1.0000001192092896;1.0;0
Victim;1.0;1.0;0
Victim;0.9999999403953552;1.0;0
Perpetrator;1.0;1.0;0
Perpetrator;0.3718808591365814;0.3157894736842105;0
Perpetrator;1.0;1.0;0
Perpetrator;1.0000001192092896;1.0;0
Perpetrator;0.2999808192253113;0.30000000000000004;0
Perpetrator;0.1733679622411728;0.2857142857142857;0
Perpetrator;1.0000001192092896;1.0;0
Perpetrator;0.3716250956058502;0.21052631578947367;0
Perpetrator;0.2555698752403259;0.0;0
Perpetrator;0.25515809655189514;0.375;0
Perpetrator;0.28522491455078125;0.33333333333333337;0
Perpetrator;0.4411545991897583;0.23529411764705888;0
Perpetrator;1.0000001192092896;1.0;0
Perpetrator;1.0;1.0;0
Perpetrator;0.2435798943042755;0.21052631578947367;0
Perpetrator;0.272733211517334;0.2962962962962963;0
Perpetrator;1.0000001192092896;1.0;0
Perpetrator;1.0000001192092896;1.0;0
Perpetrator;0.3109080493450165;0.2857142857142857;0
Perpetrator;0.24147048592567444;0.09999999999999998;0
Perpetrator;1.0000001192092896;1.0;0
Perpetrator;1.0000001192092896;1.0;0
Perpetrator;1.0000001192092896;1.0;0
Perpetrator;0.19178694486618042;0.42105263157894735;0
Perpetrator;1.0;1.0;0
Mode of Demise;0.4078871011734009;0.16666666666666663;0
Mode of Demise;0.43708422780036926;0.15384615384615385;0
Mode of Demise;0.9201271533966064;0.631578947368421;0
Mode of Demise;0.11277390271425247;0.23076923076923073;0
Mode of Demise;1.0000001192092896;1.0;0
Mode of Demise;0.2378077656030655;0.30000000000000004;0
Mode of Demise;0.2660309374332428;0.0;0
Mode of Demise;0.520930826663971;0.25;0
Mode of Demise;0.36762648820877075;0.0;0
Mode of Demise;0.16360287368297577;0.2142857142857143;0
Mode of Demise;0.7055266499519348;0.5161290322580645;0
Mode of Demise;1.0;1.0;0
Mode of Demise;0.3262633979320526;0.25;0
Mode of Demise;0.121363565325737;0.2777777777777778;0
Mode of Demise;0.5338711142539978;0.25;0
Mode of Demise;0.9999999403953552;1.0;0
Mode of Demise;0.4598742127418518;0.36363636363636365;0
Mode of Demise;0.26941853761672974;0.16666666666666663;0
Mode of Demise;0.2834595739841461;0.1333333333333333;0
Mode of Demise;0.2992679178714752;0.19999999999999996;0
Mode of Demise;0.17029958963394165;0.3125;0
Mode of Demise;0.3325554430484772;0.4;0
Mode of Demise;1.0;1.0;0
Mode of Demise;0.39010918140411377;0.4705882352941176;0
Mode of Demise;1.0000001192092896;1.0;0
