Entity;Resolved_by_rule;Resolved_by_fuzzy;Resolved_by_semantic;Manual_P;Manual_R;Manual_F1;Auto_P;Auto_R;Auto_F1;Tuned_Fuzzy_Threshold;Rec_Fuzzy_Lower;Final_Fuzzy_Threshold;Tuned_Semantic_Threshold;Rec_Sem_Lower;Final_Semantic_Threshold;Delta_P;Delta_R;Delta_F1
Victim;258;9;2;0;0;0;0.6585365853658537;0.23893805309734514;0.35064935064935066;;0.20334620334620335;0.6;;0.21524488180875778;0.25;0.6585365853658537;0.23893805309734514;0.35064935064935066
Perpetrator;256;0;13;0;0;0;0.39622641509433965;0.12574850299401197;0.1909090909090909;;0.20334620334620335;0.6;;0.21524488180875778;0.25;0.39622641509433965;0.12574850299401197;0.1909090909090909
Mode of Demise;249;1;19;0;0;0;0.26666666666666666;0.11695906432748537;0.16260162601626016;;0.20334620334620335;0.6;;0.21524488180875778;0.25;0.26666666666666666;0.11695906432748537;0.16260162601626016
Overall;763;10;34;0;0;0;0.4523809523809524;0.16843971631205673;0.2454780361757106;;0.20334620334620335;0.6;;0.21524488180875778;0.25;0.4523809523809524;0.16843971631205673;0.2454780361757106
