Entity;Resolved_by_rule;Resolved_by_fuzzy;Resolved_by_semantic;Manual_P;Manual_R;Manual_F1;Auto_P;Auto_R;Auto_F1;Tuned_Fuzzy_Threshold;Rec_Fuzzy_Lower;Final_Fuzzy_Threshold;Tuned_Semantic_Threshold;Rec_Sem_Lower;Final_Semantic_Threshold;Delta_P;Delta_R;Delta_F1
Victim;249;11;0;0.7722772277227723;0.35135135135135137;0.48297213622291024;0.7647058823529411;0.3466666666666667;0.4770642201834862;0.0;0.5974999999999999;0.0;0.2;0.5817356258630753;0.2;-0.007571345369831173;-0.004684684684684692;-0.005907916039424033
Perpetrator;248;3;9;0.5344827586206896;0.18902439024390244;0.27927927927927926;0.4426229508196721;0.1656441717791411;0.24107142857142855;0.35;0.2962962962962963;0.35;0.5;0.272733211517334;0.5;-0.09185980780101749;-0.02338021846476135;-0.03820785070785071
Mode of Demise;220;3;37;0.5569620253164557;0.2558139534883721;0.350597609561753;0.5569620253164557;0.2573099415204678;0.352;0.6;0.12916666666666668;0.6;0.2;0.169924396276474;0.2;0.0;0.0014959880320957186;0.0014023904382469699
Overall;717;17;46;0.6428571428571429;0.27419354838709675;0.38442211055276376;0.6157024793388429;0.26654740608228983;0.37203495630461925;;0.20334620334620335;0.6;;0.21524488180875778;0.25;-0.027154663518299982;-0.007646142304806924;-0.012387154248144516
