Entity;Resolved_by_rule;Resolved_by_fuzzy;Resolved_by_semantic;Manual_P;Manual_R;Manual_F1;Auto_P;Auto_R;Auto_F1;Tuned_Fuzzy_Threshold;Rec_Fuzzy_Lower;Final_Fuzzy_Threshold;Tuned_Semantic_Threshold;Rec_Sem_Lower;Final_Semantic_Threshold;Delta_P;Delta_R;Delta_F1
Victim;260;3;7;0;0;0;0.7;0.2168141592920354;0.33108108108108103;;0.20334620334620335;0.6;;0.21524488180875778;0.25;0.7;0.2168141592920354;0.33108108108108103
Perpetrator;262;3;5;0;0;0;0.5531914893617021;0.15568862275449102;0.24299065420560748;;0.20334620334620335;0.6;;0.21524488180875778;0.25;0.5531914893617021;0.15568862275449102;0.24299065420560748
Mode of Demise;245;2;23;0;0;0;0.46153846153846156;0.14035087719298245;0.21524663677130043;;0.20334620334620335;0.6;;0.21524488180875778;0.25;0.46153846153846156;0.14035087719298245;0.21524663677130043
Overall;767;8;35;0;0;0;0.5857988165680473;0.17553191489361702;0.27012278308321963;;0.20334620334620335;0.6;;0.21524488180875778;0.25;0.5857988165680473;0.17553191489361702;0.27012278308321963
