Entity;Resolved_by_rule;Resolved_by_fuzzy;Resolved_by_semantic;Manual_P;Manual_R;Manual_F1;Auto_P;Auto_R;Auto_F1;Tuned_Fuzzy_Threshold;Rec_Fuzzy_Lower;Final_Fuzzy_Threshold;Tuned_Semantic_Threshold;Rec_Sem_Lower;Final_Semantic_Threshold;Delta_P;Delta_R;Delta_F1
Victim;269;11;4;0;0;0;0.7027027027027027;0.34513274336283184;0.4629080118694362;;0.20334620334620335;0.6;;0.21524488180875778;0.25;0.7027027027027027;0.34513274336283184;0.4629080118694362
Perpetrator;269;3;12;0;0;0;0.4411764705882353;0.17964071856287425;0.25531914893617025;;0.20334620334620335;0.6;;0.21524488180875778;0.25;0.4411764705882353;0.17964071856287425;0.25531914893617025
Mode of Demise;248;4;32;0;0;0;0.38823529411764707;0.19298245614035087;0.2578125;;0.20334620334620335;0.6;;0.21524488180875778;0.25;0.38823529411764707;0.19298245614035087;0.2578125
Overall;786;18;48;0;0;0;0.5340909090909091;0.25;0.34057971014492755;;0.20334620334620335;0.6;;0.21524488180875778;0.25;0.5340909090909091;0.25;0.34057971014492755
