Entity;Resolved_by_rule;Resolved_by_fuzzy;Resolved_by_semantic;Manual_P;Manual_R;Manual_F1;Auto_P;Auto_R;Auto_F1;Tuned_Fuzzy_Threshold;Rec_Fuzzy_Lower;Final_Fuzzy_Threshold;Tuned_Semantic_Threshold;Rec_Sem_Lower;Final_Semantic_Threshold;Delta_P;Delta_R;Delta_F1
Victim;265;8;4;0;0;0;0.7289719626168224;0.34513274336283184;0.46846846846846846;;0.20334620334620335;0.6;;0.21524488180875778;0.25;0.7289719626168224;0.34513274336283184;0.46846846846846846
Perpetrator;265;3;9;0;0;0;0.5492957746478874;0.23353293413173654;0.32773109243697474;;0.20334620334620335;0.6;;0.21524488180875778;0.25;0.5492957746478874;0.23353293413173654;0.32773109243697474
Mode of Demise;241;0;36;0;0;0;0.4375;0.16374269005847952;0.23829787234042552;;0.20334620334620335;0.6;;0.21524488180875778;0.25;0.4375;0.16374269005847952;0.23829787234042552
Overall;771;11;49;0;0;0;0.5991735537190083;0.2570921985815603;0.3598014888337469;;0.20334620334620335;0.6;;0.21524488180875778;0.25;0.5991735537190083;0.2570921985815603;0.3598014888337469
