Entity;Resolved_by_rule;Resolved_by_fuzzy;Resolved_by_semantic;Manual_P;Manual_R;Manual_F1;Auto_P;Auto_R;Auto_F1;Tuned_Fuzzy_Threshold;Rec_Fuzzy_Lower;Final_Fuzzy_Threshold;Tuned_Semantic_Threshold;Rec_Sem_Lower;Final_Semantic_Threshold;Delta_P;Delta_R;Delta_F1
Victim;248;17;0;0.8073394495412844;0.37446808510638296;0.5116279069767442;0.8018867924528302;0.36796536796536794;0.5044510385756676;0.0;0.5974999999999999;0.0;0.2;0.5817356258630753;0.2;-0.005452657088454216;-0.006502717141015024;-0.007176868401076564
Perpetrator;249;7;9;0.5428571428571428;0.22093023255813954;0.3140495867768595;0.5142857142857142;0.21301775147928995;0.301255230125523;0.35;0.2962962962962963;0.35;0.5;0.272733211517334;0.5;-0.02857142857142858;-0.007912481078849593;-0.012794356651336491
Mode of Demise;224;2;39;0.5487804878048781;0.24861878453038674;0.34220532319391633;0.5625;0.2542372881355932;0.3501945525291829;0.6;0.12916666666666668;0.6;0.2;0.169924396276474;0.2;0.013719512195121908;0.005618503605206465;0.007989229335266579
Overall;721;26;48;0.6551724137931034;0.29081632653061223;0.4028268551236749;0.6484375;0.2876949740034662;0.3985594237695078;;0.20334620334620335;0.6;;0.21524488180875778;0.25;-0.006734913793103425;-0.003121352527146015;-0.004267431354167073
