Entity;Resolved_by_rule;Resolved_by_fuzzy;Resolved_by_semantic;Manual_P;Manual_R;Manual_F1;Auto_P;Auto_R;Auto_F1;Tuned_Fuzzy_Threshold;Rec_Fuzzy_Lower;Final_Fuzzy_Threshold;Tuned_Semantic_Threshold;Rec_Sem_Lower;Final_Semantic_Threshold;Delta_P;Delta_R;Delta_F1
Victim;235;14;0;0.8472222222222222;0.27232142857142855;0.41216216216216217;0.8333333333333334;0.26905829596412556;0.4067796610169492;0.0;0.5974999999999999;0.0;0.2;0.5817356258630753;0.2;-0.01388888888888884;-0.0032631326073029876;-0.005382501145212992
Perpetrator;241;6;2;0.7391304347826086;0.2073170731707317;0.3238095238095238;0.7608695652173914;0.21212121212121213;0.33175355450236965;0.35;0.2962962962962963;0.35;0.5;0.272733211517334;0.5;0.021739130434782705;0.00480413895048043;0.007944030692845827
Mode of Demise;216;3;30;0.5471698113207547;0.1695906432748538;0.2589285714285714;0.5925925925925926;0.18823529411764706;0.2857142857142857;0.6;0.12916666666666668;0.6;0.2;0.169924396276474;0.2;0.04542278127183785;0.018644650842793264;0.0267857142857143
Overall;692;23;32;0.7251461988304093;0.22182468694096602;0.3397260273972603;0.7383720930232558;0.22759856630824374;0.34794520547945207;;0.20334620334620335;0.6;;0.21524488180875778;0.25;0.013225894192846477;0.005773879367277718;0.008219178082191747
