Entity;Resolved_by_rule;Resolved_by_fuzzy;Resolved_by_semantic;Manual_P;Manual_R;Manual_F1;Auto_P;Auto_R;Auto_F1;Tuned_Fuzzy_Threshold;Rec_Fuzzy_Lower;Final_Fuzzy_Threshold;Tuned_Semantic_Threshold;Rec_Sem_Lower;Final_Semantic_Threshold;Delta_P;Delta_R;Delta_F1
Victim;230;27;0;0.8909090909090909;0.4206008583690987;0.5714285714285714;0.8918918918918919;0.42857142857142855;0.5789473684210525;0.0;0.5974999999999999;0.0;0.2;0.5817356258630753;0.2;0.0009828009828010131;0.00797057020232983;0.007518796992481147
Perpetrator;243;8;6;0.6419753086419753;0.30057803468208094;0.4094488188976378;0.5375;0.25443786982248523;0.3453815261044177;0.35;0.2962962962962963;0.35;0.5;0.272733211517334;0.5;-0.1044753086419753;-0.04614016485959571;-0.0640672927932201
Mode of Demise;207;6;44;0.49;0.26063829787234044;0.3402777777777778;0.504950495049505;0.288135593220339;0.3669064748201439;0.6;0.12916666666666668;0.6;0.2;0.169924396276474;0.2;0.014950495049504964;0.02749729534799855;0.02662869704236609
Overall;680;41;50;0.6838487972508591;0.335016835016835;0.4497175141242938;0.660958904109589;0.3344887348353553;0.44418872266973536;;0.20334620334620335;0.6;;0.21524488180875778;0.25;-0.0228898931412701;-0.000528100181479696;-0.005528791454558424
